Study_ID,Model_Name,Year,Benchmark_Domain,Success_Rate_Base_LLM,Success_Rate_Agentic,Performance_Delta_Percent,CI_Error_Margin,Inference_Cost_USD
1,Agent Q,2024,WebShop (E-commerce),18.6,95.4,340,20,4.00
2,M3Builder,2025,Medical (MedQA),44.0,94.3,210,15,1.84
3,AutoAgent,2025,General Assistant,N/A,N/A,180,18,0.50
4,LATS,2024,Reasoning (HotPotQA),N/A,N/A,165,12,N/A
5,Clinician Agent,2025,Medical Diagnosis,N/A,N/A,150,10,N/A
6,SWE-agent,2024,Software Eng (SWE-bench),5.0,58.0,140,14,2.10
7,OpenDevin,2024,Code Generation,N/A,N/A,130,12,N/A
8,MetaGPT,2023,Multi-Agent Dev,N/A,N/A,110,10,0.05
9,ChemCrow,2023,Scientific Discovery,N/A,N/A,95,8,N/A
10,Voyager,2023,Embodied (Minecraft),N/A,N/A,80,15,N/A
11,Agent-Judge,2025,DevAI Eval,70.0,90.0,N/A,N/A,N/A
12,GPT-4 Zero-shot,2023,Baseline,N/A,N/A,0,0,0.01
